idx,X,Pb_X_Pb,N_penetration,in_plane_Pb_X_Pb,ax_bond_angle,eq_bond_angle,bond_angle_variance,ax_X_X,eq_X_X,ax_bond_length,eq_bond_length,elongation,out_of_plane_disortion,t1,t2,struc_type
4,Br,149.6172788,2.551185382,149.7001478,90,90,7.947493264,4.279503985,4.221640365,3.068380641,2.985422189,1.002587968,5.435388858,0.49,0.5,100
17,I,145.2225795,2.667334432,152.8226061,90,90,25.19245291,4.539334679,4.528532813,3.213569748,3.208303698,1.006886323,10.62814627,0.31,0.33,100
18,I,145.2661776,2.665201215,152.9221964,90,90,25.04195486,4.539079252,4.528772185,3.213084622,3.208425746,1.006844527,10.67239161,0.3,0.3,100
19,I,148.9790849,2.802474298,149.0085819,90,90,13.21691428,4.537128144,4.479479464,3.252808648,3.167497782,1.004040804,6.841324879,0.48,0.5,100
20,I,155.1085049,2.587633975,155.1936173,90,90,8.347180126,4.504647341,4.477228553,3.206903916,3.166078064,1.002418844,5.681915615,0.06,0.06,100
21,I,148.8642819,2.661644364,148.868754,90,90,2.01213709,4.547848919,4.473542046,3.268125355,3.163298889,1.001036637,2.522341885,0.49,0.5,100
26,I,147.6681702,2.688378206,147.669892,90,90,1.358386132,4.538284117,4.446818969,3.272738346,3.144455905,1.001096922,1.592799581,0.48,0.5,100
38,I,143.4943754,2.788390116,150.7149235,90,90,4.822637038,4.553145224,4.572036661,3.206528146,3.233536697,1.001393204,13.79032938,0.38,0.41,100
47,I,149.3170678,2.722440763,149.5442526,90,90,7.14834627,4.55616632,4.588000293,3.201012917,3.244419526,1.002099234,6.218428847,0.01,0.01,100
68,I,159.1341523,3.355261732,178.4439109,89.99497382,89.95871936,4.742369048,4.606848229,4.626327879,3.242731437,3.273115911,1.003025958,13.10594118,0.04,0.28,110
69,Br,142.7412961,3.586781643,124.399013,90.10824896,90.08829983,34.47862524,4.290273853,4.287743963,3.030299885,3.034429656,1.010929605,26.92271037,0,0.02,100
70,Br,142.1531753,2.696206118,149.0869017,90,90,14.10417118,4.270184843,4.279240648,3.016090078,3.026595953,1.004001137,11.97806838,0.09,0.1,100
76,I,153.5009242,2.852293656,154.9180887,90,90,1.837017962,4.557033046,4.608101013,3.186346552,3.258447453,1.00074645,6.408249871,0.21,0.21,100
77,I,159.3196065,2.77572499,162.4790957,90,90,7.916285593,4.573017913,4.66825848,3.167572912,3.300944418,1.002981046,11.40099472,0.06,0.06,100
78,I,144.5024649,2.712907229,154.2164756,90,90,9.018088638,4.548742758,4.572483879,3.197174278,3.235945065,1.002567998,15.25550178,0.2,0.2,100
83,I,173.2529021,3.568118325,173.2529021,90.06114573,90,9.879968333,4.571672758,4.594992383,3.208216919,3.253197115,1.003469848,2.521043532,0.12,0.43,100
86,I,144.101316,2.812351001,152.6695777,90,90,5.863396774,4.54975264,4.582122129,3.192638432,3.241766799,1.001749214,15.43480771,0.49,0.5,100
87,Br,142.0393341,2.665107055,149.6395081,90,90,6.834305188,4.270351898,4.250264341,3.035177253,3.0057425,1.001987283,13.22208342,0.46,0.49,100
88,Br,143.97196,2.567795322,151.9309916,90,90,13.43038637,4.276586217,4.281417264,3.02335816,3.028158255,1.003809335,12.5295027,0.46,0.49,100
93,Cl,142.7727135,2.576230953,149.4858185,90,90,9.081149132,4.081391824,4.07042484,2.895281048,2.878805869,1.002524642,13.92361826,0.46,0.49,100
94,Cl,143.8718272,2.530280804,150.6193677,90,90,13.89001856,4.080060306,4.089546476,2.88168379,2.892163607,1.003864994,12.76839315,0.44,0.47,100
99,Br,148.8995147,2.533250284,148.9129899,90,90,12.2883099,4.276008406,4.221277152,3.065303991,2.985066055,1.003770533,5.2076338,0.33,0.33,100
102,I,159.9210398,2.406365504,173.1409658,89.91532517,89.99242326,14.46233003,4.521202946,4.523140261,3.200635424,3.201148728,1.00407201,10.450667,0.19,0.21,100
113,Cl,133.6411989,2.609746266,133.6411989,89.70734066,90,27.4356799,4.06713789,4.00633709,2.930297288,2.839174951,1.008201241,5.074851493,0.46,0.48,100
114,Cl,133.6687558,2.609538273,133.6687558,89.70762694,90,27.38729278,4.06707845,4.006345948,2.93021839,2.839159434,1.008187157,5.077850416,0.47,0.48,100
118,Cl,133.4939634,2.609010947,133.4939634,89.70244622,90,28.0655899,4.066703585,4.007846875,2.928683711,2.84049349,1.008355584,5.07101448,0.45,0.47,100
127,I,149.0714316,3.017930877,178.6972205,90.00033747,90.00002477,1.431364362,4.505017341,4.541327779,3.160299399,3.210764347,1.00089876,15.42553103,0.04,0.49,100
130,I,155.9140671,2.510746222,157.430236,90,90,16.60385006,4.551368203,4.5270899,3.236122901,3.203557177,1.004929403,7.794181764,0.47,0.5,100
136,Br,167.4590383,1.936261802,132.2892951,89.99801211,90.01638367,12.68296741,4.243878365,4.28322244,2.974896884,3.029360134,1.003888308,9.364532855,0.24,0.26,100
140,Br,162.1906919,2.500716049,156.5375039,90.44385522,90.28403787,91.30356984,4.313241032,4.314559673,3.04150608,3.054356789,1.031648324,6.866624609,0.2,0.25,100
141,Br,91.78928878,4.192933691,66.14017152,90.00015676,90.1046491,37.27894391,4.284927881,4.312461167,3.022947058,3.048149148,1.012023835,46.85745562,0.39,0.45,100
143,Br,152.056796,2.703846185,152.056796,89.78680737,90,25.13177634,4.257898838,4.191495852,3.063978584,2.970832171,1.00755197,4.09218601,0.5,0.5,100
145,Br,133.6947447,2.691526651,133.6947447,89.82832147,90,21.39619606,4.258868855,4.195196351,3.059805127,2.973284835,1.006517084,3.066198816,0.47,0.5,100
148,I,112.1502987,3.180934676,112.1502987,90.05003853,90,11.6230686,4.518174401,4.464025122,3.225610107,3.160978494,1.00349107,1.549882853,0.19,0.39,100
149,Cl,179.7672415,3.103288847,179.9062263,89.98913472,90,15.16136902,4.066198387,4.000740168,2.917699464,2.833238769,1.004666363,2.132961968,0.11,0.25,100
151,Br,112.5242248,3.155964217,112.5249407,90.00121532,90,11.21472834,4.268265915,4.215499052,3.051779807,2.984426075,1.003391361,2.191326334,0.15,0.28,100
162,I,158.5839125,2.501754898,160.2432327,90.00150095,89.99764988,17.84995508,4.554472319,4.570294578,3.208603018,3.234898985,1.005318548,7.889778683,0.12,0.28,100
163,Br,160.2109578,2.765340684,179.80573,89.96574927,90.00246192,24.74688379,4.320416104,4.360025312,3.024184879,3.089622669,1.009816032,5.720732567,0,0.14,110
187,I,149.2577377,2.696324323,149.2581394,90,90,3.445372372,4.54289145,4.470047602,3.263443122,3.161157053,1.001418927,2.472575367,0.29,0.3,100
223,I,149.0813869,2.69383234,149.2127365,90,90,15.32739621,4.564107775,4.564400832,3.222707006,3.232231493,1.004414151,2.229044823,0.45,0.49,100
225,I,151.248265,2.573524553,151.6913125,90.00235005,90.00172503,8.161672711,4.544388514,4.515775516,3.233461758,3.194343396,1.002493705,5.471729619,0.18,0.18,100
248,I,174.3056646,3.429063705,114.3184473,89.97955833,89.94889486,18.53013537,4.580582543,4.576746515,3.247540005,3.238750432,1.006129088,42.76264828,0.09,0.39,100
271,I,153.3619826,2.85409596,154.7555247,90,90,2.214883189,4.557853923,4.608332985,3.187477442,3.258613759,1.000847282,6.493887247,0.2,0.2,100
272,Br,174.6827783,2.819415727,176.1835056,89.98732212,90.00003218,3.120368899,4.27003149,4.297147048,2.999612404,3.039821677,1.001014206,3.612639479,0.16,0.17,100
290,I,180,3.143698362,179.9999991,90,90,9.365614929,4.525048369,4.512374034,3.208475397,3.192376833,1.00271793,3.613227389,0.29,0.31,100
318,I,155.9245721,2.510738674,157.4411888,90,90,16.59070758,4.551305082,4.526776184,3.236267636,3.203326196,1.004926454,7.79584827,0.47,0.5,100
326,I,143.0977432,2.555729538,141.5665857,90.01158281,89.90058665,36.7186721,4.569918988,4.549889678,3.237217285,3.230311214,1.010890727,8.267899064,0.22,0.25,100
327,I,142.2855874,2.568397208,140.8015912,90.02659498,89.89320209,38.96838562,4.572059212,4.548686241,3.23941155,3.23040245,1.01153987,8.384928614,0.23,0.24,100
329,Br,167.4534817,1.937122121,164.7839303,89.99795929,90.01667278,12.75653574,4.244043699,4.283279066,2.975105422,3.029400002,1.003908601,9.377759903,0.24,0.26,100
331,Cl,170.5649213,1.833744918,166.2074469,90.00275703,89.96520479,18.30309508,4.055478757,4.101927128,2.836193057,2.902205576,1.005758422,10.04025135,0.25,0.27,100
335,Br,154.0702825,2.938195546,85.73692126,90.15446178,90.04413791,48.00867394,4.282639495,4.288779021,3.021818557,3.036553604,1.013954083,14.02742335,0,0.33,100
338,I,161.9341883,2.51788592,158.7855393,90.32449229,90.32137466,78.21140307,4.574156732,4.567857431,3.233193637,3.23239125,1.02615225,5.682416977,0.19,0.21,100
346,Br,143.4185921,4.123679957,106.6336201,90,90,10.5584359,4.287638033,4.261933462,3.0473224,3.016600083,1.003006337,36.54847583,0.19,0.29,100
348,Br,147.1664301,2.724143474,79.44112322,89.843029,89.92733143,34.71971297,4.25842793,4.256615115,3.020906972,3.01506484,1.010636464,16.41804639,0.03,0.38,100
349,Br,139.0429577,2.65463315,146.925836,89.99842184,90.09037046,26.90972014,4.281649929,4.267406332,3.036168049,3.021264741,1.00768803,12.8025961,0.03,0.33,100
353,Cl,171.2,2.881219247,179.8782423,90.00486741,89.56631422,39.97238264,4.104370834,4.054787551,2.940407473,2.878711325,1.013887401,6.818565863,0.19,0.33,110
371,I,167.9375787,3.139717486,168.0439573,89.96745989,90.14151106,39.92826531,4.619747737,4.66299347,3.246410267,3.298829717,1.014410974,10.22536999,0.21,0.5,110
372,Br,171.4491092,3.183090387,171.5403952,90.32952653,90.27981541,66.10973307,4.348243325,4.403120889,3.029286521,3.111837636,1.025520287,9.804322779,0.22,0.49,110
373,Br,168.5578268,3.206006812,168.6889311,89.87482016,89.98701057,30.87760171,4.300643758,4.340422961,3.023762862,3.069681182,1.01028881,5.617017219,0.31,0.43,110
374,Cl,178.1759224,3.185868263,178.5554406,90.24365775,89.97077531,36.42049448,4.111558164,4.115242417,2.884610072,2.917502417,1.012040633,6.52724587,0.34,0.45,110
375,Br,174.1848702,3.030525602,105.5765299,90.00292189,90.42114606,40.81311123,4.415218296,4.427291443,3.130578986,3.117027984,1.018800937,31.16031388,0,0,110
411,I,147.4144342,2.710057238,147.4144559,90,90,1.963798696,4.548454037,4.492089395,3.256248905,3.176353181,1.000870517,2.316243644,0.43,0.44,100
412,I,147.3452134,2.712403291,147.3472952,90,90,2.536214373,4.548491102,4.496218487,3.253503861,3.179338136,1.001000919,2.270579536,0.39,0.4,100
413,I,155.459117,1.689562094,172.001917,90.19658806,89.99878379,31.14628794,4.551436529,4.555560615,3.208811619,3.223703607,1.008980393,13.69671988,0.2,0.36,100
435,I,131.1155553,2.758882298,131.1155553,89.49127423,90,82.40606699,4.588875401,4.646277245,3.212650713,3.31416456,1.024601333,6.436000287,0.44,0.46,100
436,I,150.7678473,2.655708534,151.1543615,90,90,22.69385565,4.570327153,4.613586061,3.19392824,3.269430782,1.006805186,3.36706224,0.45,0.5,100
439,I,156.2704925,2.52840865,156.2892146,90,90,20.38139739,4.551683013,4.642214003,3.157388603,3.283924846,1.006181767,6.428168187,0.48,0.5,100
445,Br,147.7351064,3.039783025,82.53432965,89.94706046,89.83732639,18.59708419,4.273164081,4.266742616,3.027665425,3.021863369,1.005698109,16.30622616,0.01,0.35,100
