idx,X,Pb_X_Pb,N_penetration,in_plane_Pb_X_Pb,ax_bond_angle,eq_bond_angle,bond_angle_variance,ax_X_X,eq_X_X,ax_bond_length,eq_bond_length,elongation,out_of_plane_disortion,t1,t2
572,I,153.8885147,2.374986081,162.2231254,89.97754392,89.99233553,37.36308508,4.573208466,4.557009789,3.254617213,3.222986388,1.012763049,5.967933575,0.45,0.49
668,Br,145.9008937,2.675239442,155.9328123,90.08370147,89.92793786,36.52685211,4.320637112,4.252892279,3.092566745,3.013929089,1.012348321,11.43794436,0.45,0.46
513,I,148.2433791,2.557715533,148.6054529,89.99887265,89.91753202,13.80069895,4.566567966,4.5055345,3.273573453,3.188788591,1.004466197,4.455842907,0.13,0.13
495,I,152.724286,2.753730071,152.8246515,90.10521794,89.94563038,17.04588998,4.562236167,4.529273323,3.241814576,3.207142796,1.005865941,4.695825112,0,0
792,I,152.9227181,2.148169121,164.2612768,90.01390035,89.72366769,22.66255706,4.539904739,4.506756476,3.235054293,3.194505496,1.007469459,6.731429997,0.14,0.14
478,I,151.4229698,2.643868183,151.698955,89.96162801,89.99131052,21.46436676,4.563218536,4.533899614,3.250150788,3.209972742,1.006585226,4.996557152,0.49,0.5
427,Br,153.6677641,2.543246437,155.3608113,90.18276535,90.00053441,17.85730519,4.277926005,4.224961178,3.052949051,2.989751258,1.005369709,8.302038137,0.47,0.49
761,I,158.7061637,3.195077003,136.4889862,89.90213165,89.94686716,28.81011308,4.532182001,4.532598886,3.211560671,3.209809576,1.00871978,22.39616683,0.22,0.22
724,I,157.6443996,2.094124751,165.5284046,90.07269484,89.97042801,20.37673533,4.533094034,4.532542729,3.200090584,3.209799425,1.006261436,12.20949134,0.32,0.32
107,I,152.2495797,2.725574842,152.3035155,90.04084417,89.91170514,23.03394822,4.568564695,4.544695176,3.242218811,3.220367725,1.007041495,4.270410016,0,0
14,Cl,166.7031848,2.168292197,167.4079918,89.88061358,89.87648324,47.31642833,4.122275533,4.122150278,2.919477163,2.920187309,1.016810716,8.947069471,0.46,0.48
788,I,152.3117206,2.534968144,152.9452947,90.01192627,89.92438548,10.26107838,4.549738452,4.513467579,3.243615934,3.193897887,1.00340593,3.633022806,0.43,0.43
432,Br,156.5928101,2.12534618,177.0605109,90.06744151,89.73847776,60.00250069,4.303385538,4.264288247,3.064777614,3.024431654,1.019743677,9.614415022,0.44,0.48
500,I,151.8557495,2.322319703,159.0301235,90.0088077,89.77271319,14.69559985,4.528582799,4.514792227,3.21110984,3.199417941,1.00449405,8.883202628,0.29,0.29
104,I,152.8700949,2.671599656,152.9388499,90.02087645,89.99400919,9.111392446,4.541685956,4.521473554,3.225059507,3.198617488,1.002703469,3.882615551,0,0
496,I,149.4821007,2.742742023,150.4378887,90.03098985,89.94260756,17.53162066,4.546405654,4.542019299,3.213989442,3.215985058,1.005946838,3.892719393,0,0
415,Br,157.8206359,2.455362732,158.7518926,89.98038276,89.96314268,17.56796662,4.274680505,4.2498254,3.044544524,3.007231878,1.005201516,5.370326528,0,0
720,I,149.4723942,2.703091106,149.5100961,89.98478397,89.99914082,3.583120339,4.550855461,4.528103421,3.234461717,3.202186527,1.001413571,3.403552816,0,0
103,I,160.922988,2.957899729,161.0065504,89.9982109,89.96431148,13.5925554,4.530721297,4.522275796,3.208052847,3.201421394,1.004171968,3.609899574,0,0
55,I,153.9998543,2.338504054,159.5269488,90.22213102,89.69731631,48.23374253,4.552946466,4.502373949,3.240005767,3.198918586,1.014099791,6.960859098,0.5,0.5
717,Br,152.6950817,2.366702581,152.7151036,89.98506463,89.90389981,11.31290349,4.278692092,4.250469665,3.048458995,3.008192832,1.003549776,4.419415488,0.49,0.49
493,I,152.8435435,2.759057523,156.2521285,90.00023706,89.88769631,14.56953781,4.546649314,4.534069451,3.223924882,3.210317856,1.004807048,6.517734515,0.23,0.23
108,I,149.1018283,2.638986521,149.4950245,89.99030817,89.9830248,6.149777499,4.549469067,4.537414794,3.225817368,3.209761774,1.002094328,4.207321176,0,0
50,I,157.5284067,2.457545999,164.9615698,90.06029763,89.9138024,13.05376138,4.531319317,4.531479471,3.201060618,3.207769916,1.004212047,9.481673563,0.5,0.5
470,Br,149.91033,2.347489794,154.1372274,89.97856454,89.89681075,37.46885068,4.2802042,4.326591091,2.994229575,3.065318219,1.01169609,7.248636935,0,0
492,I,151.56648,2.944365907,161.5811617,89.96316534,89.94316219,24.16646614,4.571962759,4.545617145,3.251957466,3.218439164,1.008383179,12.38593408,0.23,0.23
416,Br,157.1575588,2.495053109,157.8742884,89.97966808,89.9942591,21.94187804,4.293630492,4.302351992,3.030752747,3.045104323,1.006688455,6.554841483,0,0
51,I,146.221221,2.872979554,147.7846525,90.01648059,89.99493612,12.08789849,4.548665107,4.531367778,3.229504512,3.205136091,1.003455522,8.133898572,0.5,0.5
777,I,156.5159127,2.36784706,163.801698,90.02442707,89.98650979,27.2005456,4.567425321,4.542925715,3.249208978,3.214332767,1.009388481,5.98230354,0.45,0.48
443,I,153.0155858,1.976468987,163.398944,90.03998155,89.72726747,18.7127534,4.494869234,4.43421134,3.217255588,3.144752367,1.00629628,8.161234856,0.49,0.49
